nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
Chicago Bulls,FALSE,34,8,78,27,22,17,-26
Atlanta Hawks,FALSE,38,5,93,28,21,15,-9
Denver Nuggets,TRUE,40,10,90,35,20,15,9
Dallas Mavericks,TRUE,46,18,100,45,19,13,14
San Antonio Spurs,FALSE,41,13,84,30,20,14,-14
Portland Trail Blazers,TRUE,34,11,87,36,31,25,12
Houston Rockets,FALSE,34,7,85,32,27,17,-12
Sacramento Kings,FALSE,38,14,95,41,17,13,-2
Oklahoma City Thunder,TRUE,42,10,99,30,15,11,2
Phoenix Suns,TRUE,46,18,94,37,9,9,25
Memphis Grizzlies,FALSE,37,7,98,33,23,13,-25
Boston Celtics,TRUE,47,12,96,41,18,16,9
Milwaukee Bucks,FALSE,44,16,98,47,11,9,-9
Detroit Pistons,FALSE,29,9,79,30,13,11,-20
Cleveland Cavaliers,TRUE,39,14,82,41,9,6,20
New York Knicks,FALSE,36,13,93,35,18,11,-8
Charlotte Hornets,TRUE,39,10,90,36,24,16,8
New Orleans Pelicans,FALSE,43,13,88,32,16,13,-8
Brooklyn Nets,TRUE,41,18,82,34,27,20,8
Boston Celtics,FALSE,33,6,78,23,18,17,-2
Cleveland Cavaliers,TRUE,31,10,81,38,22,19,2
Toronto Raptors,FALSE,44,13,87,34,31,20,-6
Detroit Pistons,TRUE,43,15,79,35,30,26,6
Indiana Pacers,TRUE,47,14,82,28,15,10,5
Philadelphia 76ers,FALSE,38,12,89,23,29,25,-5
New Orleans Pelicans,TRUE,38,14,79,29,25,22,11
Memphis Grizzlies,FALSE,38,8,88,24,21,17,-11
Washington Wizards,TRUE,42,12,84,35,10,8,12
Orlando Magic,FALSE,31,13,92,40,20,17,-12
Utah Jazz,FALSE,35,17,85,53,25,18,-6
Miami Heat,TRUE,42,13,85,33,16,14,6
LA Clippers,TRUE,53,16,99,40,9,7,27
Minnesota Timberwolves,FALSE,40,11,102,36,16,11,-27
Denver Nuggets,TRUE,47,19,90,40,14,11,29
Portland Trail Blazers,FALSE,35,13,80,39,13,12,-29
Charlotte Hornets,TRUE,42,14,88,36,12,8,4
Golden State Warriors,FALSE,38,9,90,39,25,17,-4
Houston Rockets,FALSE,35,7,85,32,18,12,-26
Phoenix Suns,TRUE,42,14,97,40,20,17,26
Oklahoma City Thunder,FALSE,36,14,90,45,11,10,-24
Brooklyn Nets,TRUE,41,18,82,43,21,20,24
Milwaukee Bucks,FALSE,38,14,84,41,16,10,-20
Atlanta Hawks,TRUE,47,15,97,35,13,11,20
Los Angeles Lakers,TRUE,43,15,83,31,17,13,8
San Antonio Spurs,FALSE,40,16,90,36,15,10,-8
Chicago Bulls,TRUE,38,11,86,29,14,13,10
LA Clippers,FALSE,29,11,81,34,21,21,-10
Dallas Mavericks,TRUE,45,14,90,36,10,7,10
Denver Nuggets,FALSE,40,9,84,32,17,12,-10
Chicago Bulls,TRUE,49,15,89,34,11,8,18
Los Angeles Lakers,FALSE,36,6,79,32,31,25,-18
Portland Trail Blazers,TRUE,46,16,82,36,14,10,5
Toronto Raptors,FALSE,41,15,89,33,18,16,-5
Phoenix Suns,TRUE,32,7,85,31,36,28,3
Minnesota Timberwolves,FALSE,31,13,85,44,27,21,-3
Oklahoma City Thunder,FALSE,34,15,83,41,10,7,-13
Miami Heat,TRUE,37,18,82,40,13,11,13
Houston Rockets,FALSE,36,11,95,38,26,19,-34
Memphis Grizzlies,TRUE,52,16,96,41,20,16,34
Indiana Pacers,FALSE,32,8,86,37,16,12,-8
New York Knicks,TRUE,37,11,86,34,10,7,8
Washington Wizards,TRUE,39,10,84,28,25,17,5
New Orleans Pelicans,FALSE,30,11,74,21,34,29,-5
Sacramento Kings,TRUE,52,16,98,33,11,9,22
Detroit Pistons,FALSE,39,13,96,47,17,16,-22
Orlando Magic,FALSE,43,16,95,43,14,9,-18
Atlanta Hawks,TRUE,47,14,85,30,32,21,18
Cleveland Cavaliers,FALSE,32,16,83,40,16,12,-6
Boston Celtics,TRUE,36,10,78,29,20,16,6
LA Clippers,TRUE,37,12,85,38,22,20,14
San Antonio Spurs,FALSE,41,5,95,22,7,5,-14
Utah Jazz,TRUE,46,16,89,38,19,12,35
Philadelphia 76ers,FALSE,33,6,90,29,17,13,-35
Golden State Warriors,TRUE,41,13,79,40,28,22,18
Brooklyn Nets,FALSE,34,10,88,36,27,21,-18
Chicago Bulls,FALSE,39,13,83,29,20,16,-5
Portland Trail Blazers,TRUE,37,11,84,31,28,27,5
Phoenix Suns,TRUE,41,13,93,39,14,10,7
Dallas Mavericks,FALSE,38,16,91,32,6,6,-7
Sacramento Kings,FALSE,34,10,93,38,25,19,-10
Minnesota Timberwolves,TRUE,41,10,82,36,18,15,10
Oklahoma City Thunder,TRUE,41,10,92,39,16,9,12
Houston Rockets,FALSE,32,12,90,42,19,13,-12
Milwaukee Bucks,TRUE,40,12,87,37,24,17,7
Los Angeles Lakers,FALSE,40,12,96,43,12,10,-7
New Orleans Pelicans,FALSE,33,10,75,35,28,22,-15
Miami Heat,TRUE,42,15,87,40,17,14,15
Brooklyn Nets,TRUE,38,12,83,32,25,21,10
Cleveland Cavaliers,FALSE,35,11,89,44,21,18,-10
Boston Celtics,FALSE,37,11,84,41,17,14,-11
Atlanta Hawks,TRUE,41,13,81,37,18,15,11
Indiana Pacers,FALSE,33,9,79,37,19,14,-8
Detroit Pistons,TRUE,34,8,80,28,28,21,8
Charlotte Hornets,TRUE,42,10,96,32,6,3,10
Washington Wizards,FALSE,33,8,90,42,16,13,-10
Orlando Magic,TRUE,39,11,96,38,18,15,6
New York Knicks,FALSE,37,16,88,49,12,8,-6
Minnesota Timberwolves,TRUE,41,21,86,49,15,12,25
San Antonio Spurs,FALSE,35,6,84,32,19,14,-25
Memphis Grizzlies,TRUE,52,11,96,26,6,5,12
LA Clippers,FALSE,42,16,90,39,8,8,-12
Miami Heat,TRUE,41,10,82,26,24,20,15
Washington Wizards,FALSE,38,15,77,36,10,6,-15
Golden State Warriors,TRUE,41,15,83,43,8,7,15
Cleveland Cavaliers,FALSE,34,12,80,39,16,9,-15
